Quarter	Household income	Campaign	Ad group	Status	Bid adj.	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	DGen | EN	All Products	Campaign paused	—	€0.72	446407	1440	Clicks, engagements	0.0032	€0.22	€322.04	0	0
Current Quarter	Unknown	ADa_Brand_NL	Phrase	Eligible	—	€90.87	23	3	Clicks	0.1304	€0.70	€2.09	0	0
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	DGen | EN	All Products	Campaign paused	—	€0.72	446407	1440	Clicks, engagements	0.0032	€0.22	€322.04	0	0
Current Quarter	Unknown	ADa_Brand_NL	Phrase	Eligible	—	€90.87	23	3	Clicks	0.1304	€0.70	€2.09	0	0
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	DGen | EN	All Products	Campaign paused	—	€0.72	446407	1440	Clicks, engagements	0.0032	€0.22	€322.04	0	0
Current Quarter	Unknown	ADa_Brand_NL	Phrase	Eligible	—	€90.87	23	3	Clicks	0.1304	€0.70	€2.09	0	0
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	DGen | EN	All Products	Campaign paused	—	€0.72	446407	1440	Clicks, engagements	0.0032	€0.22	€322.04	0	0
Current Quarter	Unknown	ADa_Brand_NL	Phrase	Eligible	—	€90.87	23	3	Clicks	0.1304	€0.70	€2.09	0	0
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | NL	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	DGen | EN	All Products	Campaign paused	—	€0.72	446407	1440	Clicks, engagements	0.0032	€0.22	€322.04	0	0
Current Quarter	Unknown	ADa_Brand_NL	Phrase	Eligible	—	€90.87	23	3	Clicks	0.1304	€0.70	€2.09	0	0
Current Quarter	Unknown	Rem | EU | EN	customer list	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Current Quarter	Unknown	Rem | EU | DE	14 days add cart	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
